ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AN8068571086,SCHLUMBERGER,,,,53.65,23.33,0,0,40.7,62.87,62.9,65.99,53.17,55.02,64.03,64.75,75.71,71.54,73.65,85.87,81.71,80.89,78.25,87.8,86.1
AT000000STR1,STRABAG SE,,,,,,,,,3.81,22.87,30.9,44.29,58.66,49.97,50.09,48.69,55.55,56.98,58.49,64.61,62.49,60.42,58.09,56.89
AT00000VIE62,FLUGHAFEN WIEN,,,,,18.31,27.55,10.48,4.84,1.31,23.14,31.84,28.27,31.09,30.45,27.17,34.81,51.84,47.48,78.01,76.99,71.53,75,78.49,
AT0000606306,RAIFFEISEN BANK INTL.,,,,,,,25.56,23.63,18.32,41.52,37.08,66.61,66.05,66.84,68.68,73.75,75.14,82.52,82.94,61.29,63.22,61.36,62.62,61.64
AT0000652011,ERSTE GROUP BANK,,,,27.08,24.6,25.81,25.56,30.64,54.81,61.22,74.29,70.81,84.47,83.02,83.81,79.57,81.98,83.86,87.2,80.89,81.18,79.44,76.58,76.91
AT0000720008,TELEKOM AUSTRIA,,,,,,,19.97,23.83,37.76,77.76,85.48,78.31,75.08,66.94,71.34,73.61,73.82,62.69,63.56,63.59,64.3,64.79,59.94,59.8
AT0000730007,ANDRITZ,,,,70.16,35.72,58.85,3.99,18.49,24.67,21.1,45.53,50.59,43.91,53.18,54.31,62.49,67.44,70,72.81,68.44,77.19,75.84,77.52,77.56
AT0000743059,OMV,,,,39.09,40.61,52.51,42.24,35.97,34.03,52.86,64.66,63.4,72.96,76.24,72.37,61.29,61.11,66.68,65.86,65.18,66.14,75.46,76.95,76.63
AT0000746409,VERBUND,,,,,,,18.94,13.52,38.47,73.42,67.51,76.45,74.23,72.24,81.88,83.45,85.74,91.43,90.78,89.56,93.51,93.02,88.44,87.57
AT0000831706,WIENERBERGER,,,,35.25,54.09,28.99,35.85,17.29,48.45,34.94,58.72,61.92,63.01,62.76,67.09,72.18,78.38,79.53,74.39,84.17,83.03,75.39,68.49,68.82
AT0000908504,VIENNA INSURANCE GROUP A,,,,,,28.33,27.21,26.86,22.98,49.1,46.46,47.6,21.13,20.27,20.88,20.71,21.92,57.39,60.18,29.94,31.79,66.56,65.33,67.57
AT0000937503,VOESTALPINE,,,,1.94,22.12,0,5.89,14.73,30.04,18.56,44.29,45,59.22,58.59,57.29,59.23,55.62,67.11,61.82,64.25,68.81,69.38,69.09,72.57
AT0000938204,MAYR-MELNHOF KARTON,,,,,,10.87,21.52,25.43,21.4,19.09,18.81,14.62,27.47,22.78,25.77,25.29,20.57,28.66,31.51,27.58,29.34,32.54,40.42,45.05
AT0000A21KS2,IMMOFINANZ,,,,0,0,0,0,0,0,0,0,12.04,13.24,19.84,24.99,19.84,23.57,31.3,32.8,50.95,37.18,45.03,46.6,75.57
AU000000ALL7,ARISTOCRAT LEISURE,,,,,,0,0,0,0,5.43,4.61,4.66,9.76,9.91,11.26,17.13,20.09,22.76,24.08,22.83,44.19,45.08,43.96,52.7
AU000000AMP6,AMP,,,,,,26.48,31.19,29.56,48.45,67.49,72.72,70.11,72.3,69.26,71.54,79.77,76.99,81.01,84.27,78.15,78.87,86.3,88.24,
AU000000ANN9,ANSELL,,,,,,0,0.81,0.81,17.31,28.99,22.76,26.92,24.31,14.62,15.22,13.68,20.05,23.29,23.78,37.98,36.14,48.23,48.68,49.9
AU000000ANZ3,ANZ GROUP HOLDINGS,,,,46.45,68.78,79.25,84.75,87.79,86.47,79.85,86.93,93.32,93.95,91.99,93.76,92.11,80.87,83.81,84.93,62.89,65.92,64.4,66.79,65
AU000000ASX7,ASX,,,,,,26.48,26.3,26.68,22.44,21.83,43.35,28.9,24.15,26.05,35.4,46.76,45.4,47.4,47.88,30.54,29.59,30.98,27.42,32.5
AU000000BEN6,BENDIGO & ADELAIDE BANK,,,,,,,27.21,25.04,19.48,52.1,52.75,59.43,58.57,52.94,48.92,48.48,61,64.54,75.1,75.53,75.27,78.04,79.53,
AU000000BHP4,BHP GROUP,,,,71.61,79.63,79.56,68.05,64.75,87.25,86.22,81.03,82.61,83.62,85.19,83.78,85.7,85.96,85.97,85.04,85.39,84.5,84.19,80.65,84.05
AU000000BLD2,BORAL,,,,,,30.47,45.41,56.8,65.1,79.27,89.5,73.87,73.67,70.45,51.38,45.77,48.55,51.5,56.39,61.13,80.22,77.61,81.63,75.28
AU000000BSL0,BLUESCOPE STEEL,,,,,,7.39,29.78,23.43,32.69,44.05,46.91,58.61,57.79,60.49,60.32,60.37,57.15,59.82,68.57,64.39,67.25,64.19,63.23,60.55
AU000000CBA7,COMMONWEALTH BK.OF AUS.,,,,40.07,69.83,74.37,73.72,71.34,56.56,55.09,69.8,85.7,81.68,86.22,88.63,89.39,91.3,91.04,93.18,85.16,85,82.36,92.64,93.63
AU000000CGF5,CHALLENGER,,,,,,28.33,27.21,26.86,22.98,22.5,21.6,26.4,24.08,23.78,24.55,24.75,29.58,32.48,58.42,26.51,25.22,24.12,22.1,20.44
AU000000CIM7,CIMIC GROUP DEAD - DELIST.11/05/22,,,,,,0,0.71,34.27,35.2,49.5,38.32,32.03,35.73,38.69,39.3,39.55,41.81,43.25,47.19,54.21,52.11,55.62,58.2,
AU000000COH5,COCHLEAR,,,,,,0,0,0,26.31,25.01,6.27,3.32,2.13,2.68,2.98,7.76,15,15.24,21.04,41.47,51.28,40.62,38.22,40.8
AU000000CPU5,COMPUTERSHARE,,,,,,0,0,0,14.63,29.11,31.26,33.2,30.83,33.31,27.19,26.07,23.09,23.46,35.48,33.91,37.54,37.37,37.48,33.43
AU000000CSL8,CSL,,,,,,0,17.54,10.58,5.52,24.23,36.76,38.61,51.32,49.14,48.88,43.23,54.25,47.88,42.88,42.53,38.69,39.9,39.11,38.97
AU000000CSR5,CSR,,,,,,,0,17.92,24.04,49.94,57.05,54.43,46.93,43.99,46.66,43.24,47.94,53.79,47.79,58.71,65.87,63.74,65.13,64.87
AU000000DOW2,DOWNER EDI,,,,,,0,0,0,1.32,20.43,53.14,61.94,58.72,54.98,54.75,56.65,63.37,69.21,63.61,62.27,62.92,67.46,68.01,70.15
AU000000DXS1,DEXUS STAPLED UNITS,,,,,,,20.77,63.91,61.24,73.2,77.43,78.78,84.49,76.4,79.2,76.83,77.95,86.6,84.54,86.49,81.84,86.42,91.06,91.94
AU000000ELD6,ELDERS,,,,,,0,0,0,4.45,1.49,3.21,0.51,5.68,6.65,7.17,6.52,1.57,2.74,1.85,9.09,12.37,29.5,32.61,22.01
AU000000GMG2,GOODMAN GROUP,,,,,,,8.23,0,0,0,16.06,24.57,31.01,54.23,22.34,14.86,11.68,45.37,21.96,51.54,40.65,56.67,56.7,61.04
AU000000GPT8,GPT GROUP STAPLED UNITS,,,,,,30.36,29.16,31.07,36.96,71.85,71.08,76.79,75.65,80.85,78.5,78.6,82.81,86.56,86.55,83.33,87.21,87.58,86.69,86.17
AU000000HVN7,HARVEY NORMAN HOLDINGS,,,,,,0,0,0,0,2.01,8.31,1.59,1.54,1.25,1.13,22.79,23.29,20.34,16.96,24.17,24.24,19.74,12.6,7.2
AU000000IAG3,INSURANCE AUS.GROUP,,,,,,40,28.28,34,75.43,84.84,82.67,86.4,81.84,78.97,80.86,76.61,74.64,77.23,74.77,44.9,45.17,42.31,45.3,46.61
AU000000ILU1,ILUKA RESOURCES,,,,,,30.2,24.37,25.95,26.65,46.1,47.59,43.3,46.92,42.83,51.39,50.77,51.41,47.13,53.48,66.72,64.11,61.68,67.16,66.45
