ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AT,AUSTRIA,EUR,AT000000STR1,STRABAG SE,,,,,,,,,33.51,42.33,36.21,43.29,46.29,43.1,42.63,50.04,51.45,53.53,63.81,69.75,69.93,69.1,69.73,65.46
AT,AUSTRIA,EUR,AT00000VIE62,FLUGHAFEN WIEN,,,,,52.79,51.85,28.62,28.01,17.12,23.99,29.82,27.66,33.82,37.96,36.99,34.32,38.18,38.01,54.23,49.84,50.09,47.77,45.21,
AT,AUSTRIA,EUR,AT0000606306,RAIFFEISEN BANK INTL.,,,,,,,31.11,47.18,40.73,42.61,39.21,46.78,52.03,41.61,41.14,41.43,42.22,49.6,51.52,62.7,66.41,70.85,63.41,73.86
AT,AUSTRIA,EUR,AT0000652011,ERSTE GROUP BANK,,,,29.67,24.3,34.71,37.83,29.2,39.02,36.72,40.17,32.84,38.33,45.36,40.43,52.8,51.01,50.82,69.33,83.66,85.24,80.8,76.2,73.83
AT,AUSTRIA,EUR,AT0000720008,TELEKOM AUSTRIA,,,,,,,35.39,27.48,57.67,69.35,67.94,61.78,69.31,73.48,74.14,59.85,62.55,54.42,54.76,56.39,54.63,62.93,58.55,61.07
AT,AUSTRIA,EUR,AT0000730007,ANDRITZ,,,,55.35,43.62,48.74,32.2,31.04,32.03,30.08,29.69,53.97,39.09,42.43,42.77,51.38,48.98,57.43,64.15,71.12,72.46,75.43,71.96,72.75
AT,AUSTRIA,EUR,AT0000743059,OMV,,,,66.63,68.64,75.86,65.36,64.69,64.99,74.42,75.5,80.03,76.41,81.34,80.76,75.68,76.48,79.64,77.64,77.35,77.64,81.33,84.16,84.0
AT,AUSTRIA,EUR,AT0000746409,VERBUND,,,,,,,29.49,41.38,41.27,60.91,58.48,63.07,60.45,61.99,62.81,64.11,68.84,73.07,69.85,67.26,74.93,71.89,77.12,71.58
AT,AUSTRIA,EUR,AT0000831706,WIENERBERGER,,,,34.4,39.04,43.91,46.13,34.04,51.22,41.72,51.88,56.46,53.85,56.05,52.01,55.6,66.76,63.24,64.0,71.2,70.68,67.05,69.88,73.44
AT,AUSTRIA,EUR,AT0000908504,VIENNA INSURANCE GROUP A,,,,,,15.58,35.76,19.99,17.27,39.16,52.15,43.91,38.46,39.11,44.49,42.06,44.51,56.65,59.06,61.48,57.81,66.41,67.29,67.05
AT,AUSTRIA,EUR,AT0000937503,VOESTALPINE,,,,18.57,38.46,29.41,8.34,13.01,16.9,15.89,32.18,40.7,45.93,41.55,45.01,50.29,52.44,67.8,59.29,61.65,61.8,69.39,63.21,61.72
AT,AUSTRIA,EUR,AT0000938204,MAYR-MELNHOF KARTON,,,,,,20.91,24.19,33.07,26.84,27.99,24.13,21.99,37.82,36.43,35.14,34.79,36.1,35.17,37.22,38.73,43.26,43.57,54.51,60.45
AT,AUSTRIA,EUR,AT0000A21KS2,IMMOFINANZ,,,,17.33,10.22,15.72,14.23,9.65,19.41,8.41,6.24,21.88,22.43,31.97,35.69,37.09,30.98,33.34,49.02,57.26,53.45,52.59,59.02,56.11
BE,BELGIUM,EUR,BE0003470755,SOLVAY,,,,32.01,45.27,31.95,41.28,37.63,37.22,54.49,46.76,56.36,51.61,71.3,77.38,78.96,76.37,70.19,60.12,73.79,77.55,79.02,83.05,83.58
BE,BELGIUM,EUR,BE0003565737,KBC GROUP,,,,45.95,46.58,53.17,54.01,59.95,70.46,68.13,65.84,67.32,68.86,69.37,70.61,59.05,61.71,61.87,64.01,65.06,66.91,62.02,61.2,59.09
