ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AT,AUSTRIA,EUR,AT00000VIE62,FLUGHAFEN WIEN,537.09,794.55,560.96,705.15,985.36,1589.85,1498.41,2060.23,2425.45,926.84,1048.49,1443.25,797.25,1190.28,1765.22,1952.09,1998.43,2073.22,3394.09,3312.76,3559.53,3129.62,2540.95,2900.21
AT,AUSTRIA,EUR,AT0000652011,ERSTE GROUP BANK,1956.67,2269.47,2677.13,4006.48,7354.92,12896.98,13399.87,24155.57,22427.02,7138.94,14115.54,17827.72,6891.26,12498.19,15002.04,10003.77,13498.31,12613.95,18633.43,14272.63,16191.42,13115.57,20210.51,13715.54
AT,AUSTRIA,EUR,AT0000743059,OMV,2611.95,2091.29,2262.75,2651.31,4021.35,9039.58,17516.73,17006.48,24307.14,7806.73,13213.7,12516.44,9958.36,11803.41,15689.64,8716.35,9289.96,11584.6,20761.05,14309.77,18398.0,13214.41,18590.05,16800.81
AT,AUSTRIA,EUR,AT0000746409,VERBUND,2111.95,1531.28,1129.55,1285.83,1763.91,3364.3,5367.35,8049.1,10571.3,6835.27,6437.19,6367.03,4582.16,4210.55,3639.54,3150.65,2193.28,2724.73,4117.86,7246.8,8549.44,14549.09,19145.95,14289.58
AT,AUSTRIA,EUR,AT0000831706,WIENERBERGER,1503.25,1247.43,974.04,1161.06,1743.94,3543.41,2957.05,4400.99,4655.19,1388.67,2154.93,2253.04,1063.23,1073.66,1866.5,1627.64,2198.92,2044.74,2846.44,2418.25,3450.66,3675.69,4236.26,2690.25
AT,AUSTRIA,EUR,AT0000908504,VIENNA INSURANCE GROUP A,152.12,144.49,138.36,164.33,201.78,312.25,6174.2,7365.86,8443.02,4291.7,6611.16,6678.87,5087.87,6813.71,6389.51,5743.21,3516.61,2875.67,3960.04,2967.36,3649.56,3257.6,3624.47,3053.25
AT,AUSTRIA,EUR,AT0000937503,VOESTALPINE,1280.26,913.97,943.21,961.96,1613.35,3076.04,3977.46,8933.41,11888.23,3441.26,6199.15,8084.84,4755.46,6288.89,8300.58,6843.43,5387.07,6881.03,10554.89,5261.45,4982.59,6401.02,6497.45,4722.09
AT,AUSTRIA,EUR,AT0000938204,MAYR-MELNHOF KARTON,553.37,529.06,568.01,887.74,1442.47,2043.68,1670.28,2246.94,2384.63,1551.42,2272.58,2335.87,1700.82,2132.71,2480.4,2081.3,2487.71,2124.27,2941.88,2514.86,2685.08,4037.74,4016.58,3227.43
AT,AUSTRIA,EUR,AT0000A21KS2,IMMOFINANZ,268.68,355.03,601.6,944.33,1600.29,2408.73,3210.86,6373.21,4663.85,312.65,1646.52,4467.29,3434.76,4727.35,5239.59,2829.46,2449.46,1907.46,2877.55,2677.85,3007.07,2560.04,3160.32,1719.74
BE,BELGIUM,EUR,BE0003470755,SOLVAY,6922.02,4702.01,5078.78,5818.97,7336.35,9316.61,9301.22,12978.3,11850.78,6246.21,9180.97,9061.91,6999.66,12211.51,13422.59,11520.22,11321.13,12434.75,14734.66,10568.24,12277.06,12550.35,12305.06,10673.85
