ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AT,AUSTRIA,EUR,AT00000VIE62,FLUGHAFEN WIEN,147.79,169.02,126.01,166.81,248.09,417.1,408.74,580.53,702.81,277.04,349.14,505.73,293.67,451.48,684.58,771.62,806.23,853.19,1422.45,1416.63,1557.53,1369.41,1111.83,1269.03
AT,AUSTRIA,EUR,AT0000652011,ERSTE GROUP BANK,102.94,108.87,131.07,169.47,316.5,553.98,583.49,822.2,769.31,248.28,454.52,585.2,223.52,401.48,451.57,303.59,409.64,391.16,594.97,471.37,557.68,451.74,724.56,518.33
AT,AUSTRIA,EUR,AT0000743059,OMV,393.88,323.77,363.83,444.88,698.11,1450.14,2858.51,2829.82,4132.94,1357.55,2389.33,2350.5,1785.15,2220.12,3044.74,1763.66,1970.76,2554.7,4696.74,3335.71,4458.82,3450.98,5033.33,4763.37
AT,AUSTRIA,EUR,AT0000746409,VERBUND,669.42,490.55,365.21,421.52,588.39,1140.74,1851.66,2815.61,3781.1,2492.38,2435.25,2229.24,1633.25,1541.15,1382.09,1279.7,907.9,1161.74,1787.8,3197.6,3808.49,6593.93,8769.64,6614.67
AT,AUSTRIA,EUR,AT0000831706,WIENERBERGER,2579.95,2186.26,1776.97,2322.13,3626.22,6680.33,5744.58,8790.41,8444.76,2617.52,3210.74,3356.92,1596.04,1638.22,2882.81,2537.95,3437.56,3262.29,4602.01,3984.99,5887.01,6511.05,7637.8,5152.51
AT,AUSTRIA,EUR,AT0000908504,VIENNA INSURANCE GROUP A,166.69,161.31,157.37,190.48,238.48,375.8,678.02,820.61,954.66,407.06,664.8,689.89,539.03,749.48,723.95,672.41,428.61,361.64,514.29,399.26,513.37,485.31,557.31,495.39
AT,AUSTRIA,EUR,AT0000937503,VOESTALPINE,185.6,137.47,149.64,131.84,228.72,453.78,608.37,1403.3,1838.54,557.18,1040.52,1379.22,829.24,1117.94,1524.52,1291.55,1030.19,1360.61,2125.33,1097.0,1073.09,1392.87,1433.84,1107.57
AT,AUSTRIA,EUR,AT0000938204,MAYR-MELNHOF KARTON,95.54,94.09,104.19,166.42,277.36,401.69,339.03,463.76,545.9,364.23,550.43,637.74,475.53,612.54,732.03,648.53,806.69,696.87,991.37,868.87,953.4,1469.81,1489.0,1222.66
AT,AUSTRIA,EUR,AT0000A21KS2,IMMOFINANZ,132.76,137.16,142.67,180.6,236.64,286.65,288.22,434.8,322.06,21.59,113.69,135.6,99.91,146.16,169.87,115.33,103.98,91.6,124.38,119.08,138.82,107.44,137.46,66.51
BE,BELGIUM,EUR,BE0003470755,SOLVAY,4575.43,3175.22,3527.59,4137.91,5350.1,6973.87,7115.21,10141.73,9427.46,5096.71,7778.84,7914.06,6267.26,11248.02,12631.02,11071.48,9460.57,10694.7,12941.51,9482.35,11345.6,11984.75,12040.64,10734.1
BE,BELGIUM,EUR,BE0003565737,KBC GROUP,4018.78,3312.14,2632.66,2570.36,3900.59,6586.0,8137.45,10968.76,12914.06,2830.14,4136.38,3246.97,1223.66,3341.65,5647.49,5589.77,6384.68,6407.43,9070.64,7101.53,8578.71,7987.1,10083.62,8390.98
BE,BELGIUM,EUR,BE0003593044,COFINIMMO,138.55,120.69,129.76,166.44,233.26,290.33,293.81,391.25,382.89,281.24,326.57,318.85,304.05,322.95,356.59,352.11,346.19,380.07,452.44,453.27,546.61,571.54,632.46,365.88
